DocsCoreContent\images\logo-azure.svg,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-education.svg,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-dotnet.svg,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-system-center.png,Skipped,Skipped - No tranformation required
DocsCoreContent\Locale\index.yml,Succeeded,Successful
DocsCoreContent\images\logo-sqlserver.svg,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-nuget.svg,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-aspnet.svg,Skipped,Skipped - No tranformation required
DocsCoreContent\rest\index.md,Succeeded,Successful
DocsCoreContent\context\visualstudio.yml,Succeeded,Successful
DocsCoreContent\images\logo-dynamics.png,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-enterprisemobility.svg,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-enterprisemobility.png,Skipped,Skipped - No tranformation required
DocsCoreContent\survey-questions.yml,Succeeded,Successful
DocsCoreContent\images\logo-visualstudio.svg,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-bot-framework.png,Skipped,Skipped - No tranformation required
DocsCoreContent\context\dotnet.yml,Succeeded,Successful
DocsCoreContent\java\index.md,Succeeded,Successful
DocsCoreContent\images\logo-windows.png,Skipped,Skipped - No tranformation required
DocsCoreContent\context\powershell.yml,Succeeded,Successful
DocsCoreContent\images\logo-dotnet.png,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-bot-framework.svg,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-aspnet.png,Skipped,Skipped - No tranformation required
DocsCoreContent\googled9fe0b0c7b4b4ecd.html,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-office.png,Skipped,Skipped - No tranformation required
DocsCoreContent\email-opt-in-preferences.yml,Succeeded,Successful
DocsCoreContent\Search\index.md,Succeeded,Successful
DocsCoreContent\context\chromeless.yml,Succeeded,Successful
DocsCoreContent\images\logo-education.png,Skipped,Skipped - No tranformation required
DocsCoreContent\msrc\customer-guidance-for-wannacrypt-attacks.md,Succeeded,Successful
DocsCoreContent\index.md,Succeeded,Successful
DocsCoreContent\images\logo-office.svg,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-xamarin.png,Skipped,Skipped - No tranformation required
DocsCoreContent\cli\index.md,Succeeded,Successful
DocsCoreContent\images\logo-azure.png,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-dynamics.svg,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-windows.svg,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-visualstudio.png,Skipped,Skipped - No tranformation required
DocsCoreContent\docfx.json,Succeeded,Successful
DocsCoreContent\404.md,Succeeded,Successful
DocsCoreContent\breadcrumb\toc.yml,Succeeded,Successful
DocsCoreContent\images\logo-system-center.svg,Skipped,Skipped - No tranformation required
DocsCoreContent\Feedback\feedback.json,Succeeded,Successful
DocsCoreContent\images\logo-xamarin.svg,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-nuget.png,Skipped,Skipped - No tranformation required
DocsCoreContent\images\logo-sqlserver.png,Skipped,Skipped - No tranformation required